Index,ContributorID,Contributor_PersonID,PersonID,Year,Age,Height,Weight,EducationLevel,NumberOfLanguages,LikeVollyball,LikeTableTennis,FavouriteMovie,Province,HappinessLevel
188,S38,P3,S38P3,2023,19,168,51,Undergraduate Degree (UG),3,TRUE,TRUE,Ladri di biciclette,Shanghai,5
189,S38,P4,S38P4,2023,19,176,76,Undergraduate Degree (UG),3,FALSE,FALSE,Mission impossible,Shaanxi,9
190,S38,P5,S38P5,2023,49,173,53,Postgraduate/ Master's Degree (PG),2,None,None,Fast & Furious,Henan,3
191,S39,P1,S39P1,2023,19,160,50.15,High School,1,FALSE,FALSE,"Hi,Mom",Fujian,9
192,S39,P2,S39P2,2023,18,165,50,High School,2,TRUE,FALSE,The Shawshank Redemption,Fujian,6
193,S39,P3,S39P3,2023,53,170.12,63,Postgraduate/ Master's Degree (PG),1,TRUE,TRUE,The Legend of 1900,Fujian,10
194,S39,P4,S39P4,2023,19,170,58,High School,2,TRUE,TRUE,Titanic,Fujian,8
195,S39,P5,S39P5,2023,18,170,57,High School,1,TRUE,TRUE,Picnic,Fujian,7
196,S40,P1,S40P1,2023,24,184,74,Postgraduate/ Master's Degree (PG),2,TRUE,None,Flutter,Chongqing,7
197,S41,P1,S41P1,2023,19,181.19,68.453912,Undergraduate Degree (UG),2,TRUE,TRUE,Before Sunrise,Tianjin,9
198,S41,P2,S41P2,2023,18,163.65,50.016347,Undergraduate Degree (UG),2,FALSE,FALSE,Minions,Liaoning,10
199,S41,P3,S41P3,2023,18,160.07,55.121973,Undergraduate Degree (UG),2,FALSE,TRUE,Better Days,Shaanxi,9
200,S41,P4,S41P4,2023,19,175.86,58.878652,Undergraduate Degree (UG),2,FALSE,FALSE,La La Land,Shaanxi,7
201,S41,P5,S41P5,2023,19,154.56,44.723453,Undergraduate Degree (UG),2,FALSE,FALSE,Roman Holiday,Tianjin,8
202,S42,P1,S42P1,2023,24,192,84,Undergraduate Degree (UG),2,TRUE,FALSE,The Wandering Earth,Liaoning,7
203,S42,P2,S42P2,2023,19,184,80,Undergraduate Degree (UG),3,FALSE,FALSE,DC Films,Liaoning,9
204,S42,P3,S42P3,2023,21,175,77,Undergraduate Degree (UG),2,FALSE,TRUE,The Fast and the Furious,Hainan,8
205,S42,P4,S42P4,2023,18,183,93,Undergraduate Degree (UG),2,TRUE,FALSE,Titanic,Liaoning,9
206,S42,P5,S42P5,2023,36,172,72,Undergraduate Degree (UG),2,FALSE,TRUE,Marvel Cinematic Universe,Hainan,6
207,S43,P1,S43P1,2023,55,160,49,Undergraduate Degree (UG),2,TRUE,TRUE,Titanic(1997),Liaoning,9
208,S43,P2,S43P2,2023,55,178,80,Undergraduate Degree (UG),2,TRUE,FALSE,Let the Bullets Fly(2010),Liaoning,10
209,S43,P3,S43P3,2023,12,150,60,Some School,1,FALSE,FALSE,The Lion King(2019),Liaoning,8
210,S43,P4,S43P4,2023,26,180,75,Undergraduate Degree (UG),2,FALSE,TRUE,The Godfather(1972),Liaoning,10
211,S43,P5,S43P5,2023,19,168,52,Undergraduate Degree (UG),2,TRUE,TRUE,Les Choristes(2004),Shanghai,10
212,S44,P1,S44P1,2023,46,165,140,High School,1,FALSE,FALSE,Tenet,Hubei,8
213,S44,P2,S44P2,2023,43,160,110,High School,1,FALSE,FALSE,Changjing Lake,Hubei,8
214,S44,P3,S44P3,2023,20,173,112,Undergraduate Degree (UG),2,TRUE,TRUE,Harry Potter,Hubei,8
215,S44,P4,S44P4,2023,5,110,20,No School,1,FALSE,FALSE,PAW patrol,Hubei,8
216,S44,P5,S44P5,2023,21,173,130,Undergraduate Degree (UG),2,FALSE,TRUE,The Wandering Earth,Hubei,7
217,S45,P1,S45P1,2023,19,178,60,Undergraduate Degree (UG),2,TRUE,TRUE,战狼,Hubei,10
218,S45,P2,S45P2,2023,19,179,65,Undergraduate Degree (UG),2,TRUE,TRUE,IPZZ-081,Hubei,6
219,S45,P3,S45P3,2023,19,168,54,Undergraduate Degree (UG),2,FALSE,TRUE,ABW-063,Hubei,7
